id	adj.P.Val.SCoV2.over.RMRP	logFC.SCoV2.over.RMRP	geneSymbol	species
NP_001265541.1	0.051929531	1.317757559	EIF1AY	HOMO SAPIENS
NP_112598.3	0.841003814	0.143757559	EPPK1	HOMO SAPIENS
NP_001077083.1	0.182247947	-0.720242441	EARS2	HOMO SAPIENS
NP_001147.1	0.301459342	0.576257559	ANXA7	HOMO SAPIENS
NP_001020.2	0.052137284	1.096757559	RPS26	HOMO SAPIENS
NP_005605.1	0.290910729	0.579257559	RHEB	HOMO SAPIENS
NP_001091947.1	0.375888085	-0.500242441	GRSF1	HOMO SAPIENS
NP_006861.1	0.720900595	0.191257559	DSTN	HOMO SAPIENS
NP_006796.1	0.065080208	1.097757559	HNRNPA0	HOMO SAPIENS
NP_001120792.1	0.242408915	0.626257559	UBAP2L	HOMO SAPIENS
NP_000182.2	0.259042186	-0.660742441	HMGCL	HOMO SAPIENS
NP_001003.1	0.325884577	0.536757559	RPS8	HOMO SAPIENS
NP_001007532.1	0.375966467	-0.524742441	NKAPL	HOMO SAPIENS
NP_055317.1	0.641955449	0.258257559	PRPF19	HOMO SAPIENS
NP_001559.1	0.016450632	1.462757559	EIF3E	HOMO SAPIENS
NP_001001323.1	0.767848511	0.164257559	ATP2B1	HOMO SAPIENS
NP_004085.1	0.280678909	0.582257559	EIF2S1	HOMO SAPIENS
NP_001275905.1	0.08223072	-0.989242441	XRCC6	HOMO SAPIENS
NP_001638.1	0.387780313	-3.002242441	APOD	HOMO SAPIENS
NP_000968.2	0.048840121	1.161757559	RPL13	HOMO SAPIENS
NP_002717.3	0.959063275	0.028257559	PREP	HOMO SAPIENS
NP_001128496.1	0.111272455	-0.899242441	PDHX	HOMO SAPIENS
NP_001273438.1	0.454564868	0.391257559	SLC35B2	HOMO SAPIENS
NP_001307524.1	0.624400474	-0.261742441	DDX5	HOMO SAPIENS
NP_001254739.1	0.956976792	0.032257559	EIF6	HOMO SAPIENS
smORF_G043944	0.053411345	1.088757559		smORFeomeHuman
NP_000166.2	0.181670019	0.727757559	GPI	HOMO SAPIENS
NP_001091974.1	0.32631809	-0.544242441	DDX17	HOMO SAPIENS
NP_001243820.1	0.154301625	0.798257559	SRI	HOMO SAPIENS
NP_000032.1	0.080445198	0.991257559	APOE	HOMO SAPIENS
NP_001093.1	0.24931532	-0.618742441	ACTN1	HOMO SAPIENS
NP_000680.2	0.814792231	0.138257559	ALDH1A1	HOMO SAPIENS
NP_006355.2	0.147354089	-0.793242441	SEC23A	HOMO SAPIENS
NP_003744.1	0.337621867	0.553757559	EIF3D	HOMO SAPIENS
NP_001020278.1	0.057942046	-1.056742441	ADAR	HOMO SAPIENS
NP_055975.1	0.235419078	-0.717242441	PMPCA	HOMO SAPIENS
NP_001087.2	0.400350728	0.438257559	ACLY	HOMO SAPIENS
NP_057479.2	0.46562627	0.388257559	HACD3	HOMO SAPIENS
NP_001259002.1	0.391564134	-0.469742441	QARS	HOMO SAPIENS
NP_001278795.1	0.242591292	0.682757559	GALNT2	HOMO SAPIENS
NP_001317103.1	0.499807555	-0.358742441	ACADSB	HOMO SAPIENS
NP_001274739.1	0.323021056	0.689257559	CYFIP1	HOMO SAPIENS
NP_001176.1	0.539870588	-0.973242441	AZGP1	HOMO SAPIENS
NP_057132.2	0.723332245	0.189257559	ISOC1	HOMO SAPIENS
NP_079428.2	0.295803915	-0.590242441	NUBPL	HOMO SAPIENS
NP_006102.2	0.356586685	-0.522242441	ACAA2	HOMO SAPIENS
NP_001158286.1	0.034831928	-1.233742441	ACIN1	HOMO SAPIENS
NP_001273651.1	0.444246454	-0.434242441	FAM120A	HOMO SAPIENS
YP_009724391.1	0.004476686	2.341614747	ORF3a	SARSCOV2_NC_045512.2
NP_001900.1	0.964223305	0.022757559	CTSD	HOMO SAPIENS
NP_000275.1	0.330987688	-0.557242441	PDHA1	HOMO SAPIENS
NP_001273149.1	0.72144757	-0.192242441	GOT2	HOMO SAPIENS
NP_001155901.1	0.237669421	0.652257559	PDCD6IP	HOMO SAPIENS
NP_001093639.1	0.649903631	-0.248742441	IMMT	HOMO SAPIENS
NP_002678.2	0.025193771	-1.387242441	PNN	HOMO SAPIENS
NP_003748.1	0.057637092	-1.060742441	EIF3I	HOMO SAPIENS
NP_001185918.1	0.301590211	-0.561742441	NFS1	HOMO SAPIENS
NP_001255.3	0.053411345	-1.467242441	CDSN	HOMO SAPIENS
NP_001293082.1	0.59923541	0.299257559	CCT5	HOMO SAPIENS
NP_001307451.1	0.539870588	-0.322242441	DDX19A	HOMO SAPIENS
NP_006286.1	0.468872215	0.382757559	VARS	HOMO SAPIENS
NP_000894.1	0.539870588	-0.320742441	NQO1	HOMO SAPIENS
NP_001171669.1	0.90371809	0.065257559	CTTN	HOMO SAPIENS
NP_001139325.1	0.285827953	-0.706742441	WFS1	HOMO SAPIENS
NP_005989.3	0.065932277	1.018257559	CCT3	HOMO SAPIENS
NP_000746.2	0.649903631	-0.240742441	CRAT	HOMO SAPIENS
NP_001303292.1	0.121400991	-0.907242441	EIF2S2	HOMO SAPIENS
NP_001265637.1	0.882977925	-0.079742441	PSMD2	HOMO SAPIENS
NP_001294869.1	0.266916189	-1.493742441	POF1B	HOMO SAPIENS
NP_000987.2	0.296164151	0.622757559	RPL35A	HOMO SAPIENS
NP_002347.5	0.51278067	-0.349742441	MARCKS	HOMO SAPIENS
NP_000967.1	0.937457602	0.045257559	RPL12	HOMO SAPIENS
NP_001316851.1	0.700850126	-0.203242441	CALM3	HOMO SAPIENS
NP_001124151.1	0.290963793	0.565757559	EIF4E	HOMO SAPIENS
NP_004577.1	0.885730917	-0.077242441	RPS6KA3	HOMO SAPIENS
NP_055577.1	0.602080417	-0.278742441	DHCR24	HOMO SAPIENS
NP_000282.1	0.12678818	1.196257559	PGK1	HOMO SAPIENS
NP_001104547.1	0.679271823	0.234257559	EZR	HOMO SAPIENS
NP_001157789.1	0.011677358	-1.677742441	FLNB	HOMO SAPIENS
NP_001269633.1	0.489061689	-0.376242441	PDIA6	HOMO SAPIENS
NP_001290556.1	0.550212977	0.325257559	MLEC	HOMO SAPIENS
NP_001005353.1	0.112827567	-0.868742441	AK4	HOMO SAPIENS
NP_001124384.1	0.175396956	-0.751242441	SUGT1	HOMO SAPIENS
NP_001005386.1	0.023995411	1.476757559	ACTR2	HOMO SAPIENS
NP_075388.2	0.031703877	-1.622742441	RSRC2	HOMO SAPIENS
NP_060592.2	0.416297185	-0.432742441	DARS2	HOMO SAPIENS
NP_079114.3	0.051929531	-1.131742441	THNSL1	HOMO SAPIENS
NP_477521.1	0.037898834	-1.721242441	MUCL1	HOMO SAPIENS
NP_001096137.1	0.553974551	-0.313242441	PSMA4	HOMO SAPIENS
NP_000007.1	0.345143645	-0.525742441	ACADM	HOMO SAPIENS
NP_000009.1	0.228457317	-0.694242441	ACADVL	HOMO SAPIENS
NP_000036.2	0.43484869	-0.957742441	ARG1	HOMO SAPIENS
NP_001020376.1	0.43484869	-0.418742441	AP2M1	HOMO SAPIENS
NP_009109.3	0.020484197	1.426757559	STRAP	HOMO SAPIENS
NP_064508.3	0.704321238	-0.201242441	TM9SF3	HOMO SAPIENS
NP_001191455.1	0.096976024	-0.907242441	SSR4	HOMO SAPIENS
NP_006342.2	0.505776819	-0.379242441	TIMM44	HOMO SAPIENS
NP_001631.3	0.510011123	-0.363242441	APEH	HOMO SAPIENS
NP_000290.2	0.325268282	-1.679742441	PKP1	HOMO SAPIENS
NP_002547.1	0.183258867	-0.718242441	OSBP	HOMO SAPIENS
NP_001107565.1	0.019112991	1.426757559	LSM14A	HOMO SAPIENS
NP_001914.3	0.426401746	-0.447242441	DDB1	HOMO SAPIENS
NP_001158508.1	0.959150445	-0.028742441	OGDH	HOMO SAPIENS
NP_005720.1	0.340291515	0.512757559	PPIF	HOMO SAPIENS
NP_004896.1	0.320052744	0.549257559	PRDX6	HOMO SAPIENS
NP_004246.2	0.086223238	-1.000742441	COX5A	HOMO SAPIENS
NP_001335.1	0.399579271	2.756257559	DAD1	HOMO SAPIENS
NP_001316603.1	0.614688925	0.267757559	CAND1	HOMO SAPIENS
NP_443077.1	0.066662573	-1.112742441	MMAB	HOMO SAPIENS
NP_110416.1	0.965098762	0.019757559	HM13	HOMO SAPIENS
NP_001307956.1	0.235419078	0.722257559	AKR1C2	HOMO SAPIENS
NP_003086.1	0.516488656	-0.349742441	SNRPF	HOMO SAPIENS
NP_001291380.1	0.342050359	0.510257559	PGD	HOMO SAPIENS
NP_002800.2	0.279490701	-0.715242441	PSMD3	HOMO SAPIENS
NP_006787.2	0.052137284	-1.413742441	AFG3L2	HOMO SAPIENS
NP_001231513.1	0.055409218	-1.363242441	C7orf55-LUC7L2	HOMO SAPIENS
NP_000092.2	0.95478771	-0.032242441	CYBA	HOMO SAPIENS
NP_001259004.1	0.421192844	0.429757559	USP10	HOMO SAPIENS
NP_002558.1	0.128078825	0.875257559	PEBP1	HOMO SAPIENS
NP_005711.1	0.66088899	0.227757559	ARPC1B	HOMO SAPIENS
NP_149080.2	0.543064581	0.320757559	ZCCHC3	HOMO SAPIENS
NP_002956.1	0.053411345	-1.196742441	S100A9	HOMO SAPIENS
NP_000980.1	0.247827126	0.626257559	RPL30	HOMO SAPIENS
NP_001350660.1	0.246094187	0.627757559	TM9SF4	HOMO SAPIENS
NP_002256.2	0.345143645	0.501257559	KPNB1	HOMO SAPIENS
NP_004628.4	0.130385043	1.285257559	RAB7A	HOMO SAPIENS
NP_001243839.1	0.041606446	-1.246242441	DDX21	HOMO SAPIENS
NP_006280.3	0.092071053	-1.050242441	TLN1	HOMO SAPIENS
NP_001152980.1	0.007658473	-1.652242441	IVD	HOMO SAPIENS
NP_849193.1	0.875589394	0.087757559	STT3B	HOMO SAPIENS
NP_001258636.1	0.47433084	2.140757559	MKRN2	HOMO SAPIENS
NP_001181883.1	0.406292971	-0.461742441	MATR3	HOMO SAPIENS
NP_068598.1	0.186766488	-0.742242441	FASTKD5	HOMO SAPIENS
NP_001349.2	0.123827694	-0.830742441	DHX15	HOMO SAPIENS
NP_000973.2	0.066662573	1.011757559	RPL21	HOMO SAPIENS
NP_001009186.1	0.763812813	0.166257559	CCT6A	HOMO SAPIENS
NP_001265660.1	0.22061618	-0.686742441	HARS2	HOMO SAPIENS
NP_001243064.1	0.22061618	-0.719242441	CSE1L	HOMO SAPIENS
NP_001146.2	0.242591292	0.633257559	ANXA6	HOMO SAPIENS
NP_001306000.1	0.066662573	-1.159742441	SACM1L	HOMO SAPIENS
NP_612510.1	0.520065983	-0.350742441	TECR	HOMO SAPIENS
NP_004791.1	0.787446187	0.151257559	TM9SF2	HOMO SAPIENS
NP_001269530.1	0.602966224	-0.278242441	PTGES3	HOMO SAPIENS
NP_000992.1	0.121400991	0.826757559	RPL36AL	HOMO SAPIENS
NP_065207.2	0.053572467	1.290257559	GALNT1	HOMO SAPIENS
NP_001653.1	0.343679618	0.513257559	ARF5	HOMO SAPIENS
NP_000997.1	0.643861455	0.242257559	RPS3A	HOMO SAPIENS
NP_004930.1	0.03361582	1.252257559	DDX1	HOMO SAPIENS
NP_068758.3	0.602966224	0.274757559	FKBP10	HOMO SAPIENS
NP_001123910.1	0.39574165	-0.456242441	SPTAN1	HOMO SAPIENS
NP_009035.3	0.875589394	0.085757559	RPL10A	HOMO SAPIENS
NP_001307796.1	0.121400991	-0.884242441	ETHE1	HOMO SAPIENS
NP_001243463.1	0.524216367	0.348757559	SLC25A1	HOMO SAPIENS
NP_001309107.1	0.035076692	-1.254242441	CNTNAP4	HOMO SAPIENS
NP_055873.1	0.124473464	-0.853742441	VWA8	HOMO SAPIENS
YP_009742615.1	0.70954314	0.202757559	nsp8	SARSCOV2_NC_045512.2
NP_001185792.1	0.39901377	0.461257559	CPNE1	HOMO SAPIENS
NP_000986.2	0.391382317	1.786257559	RPL34	HOMO SAPIENS
NP_006487.1	0.441935403	-0.442742441	GNAI3	HOMO SAPIENS
NP_001333828.1	0.145759167	0.990757559	EGFR	HOMO SAPIENS
NP_835465.2	0.406292971	-1.412742441	GSDMA	HOMO SAPIENS
NP_004530.1	0.733881325	0.182757559	NARS	HOMO SAPIENS
NP_001000.2	0.071844278	1.164257559	RPS5	HOMO SAPIENS
NP_055935.4	0.136832292	3.356757559	ALMS1	HOMO SAPIENS
NP_000810.1	0.921724517	-0.053242441	GART	HOMO SAPIENS
NP_001104490.1	0.206014904	-0.699242441	SUPT5H	HOMO SAPIENS
NP_001243779.1	0.023995411	-1.463742441	TTN	HOMO SAPIENS
NP_001186078.1	0.623832621	-1.023242441	LTF	HOMO SAPIENS
NP_001304051.1	0.123827694	-1.201242441	AGO1	HOMO SAPIENS
NP_001004.2	0.617848691	-0.273242441	RPS9	HOMO SAPIENS
NP_003119.2	0.354780506	-0.506742441	SPTBN1	HOMO SAPIENS
NP_001122324.1	0.019627792	-1.457242441	SRRT	HOMO SAPIENS
YP_009742612.1	0.330115896	0.515757559	nsp5	SARSCOV2_NC_045512.2
NP_001032360.1	0.648334502	-0.240242441	EIF3B	HOMO SAPIENS
NP_001177925.1	0.649903631	-0.233742441	ARPC1A	HOMO SAPIENS
NP_001185730.1	0.489061689	0.364257559	EIF4G3	HOMO SAPIENS
NP_006127.1	0.875589394	0.087757559	CAPZA2	HOMO SAPIENS
YP_009742617.1	0.071844278	1.058257559	nsp10	SARSCOV2_NC_045512.2
NP_001269581.1	0.001283318	2.256257559	STIP1	HOMO SAPIENS
NP_005923.2	0.085259153	-0.951242441	MIPEP	HOMO SAPIENS
NP_006296.1	0.036718921	-1.820242441	ANP32A	HOMO SAPIENS
NP_001258824.1	0.259042186	-0.659242441	TARS2	HOMO SAPIENS
NP_001289706.1	0.135172449	-0.812242441	BPHL	HOMO SAPIENS
NP_004913.2	0.237669421	-0.649242441	SEC24C	HOMO SAPIENS
NP_001269091.1	0.295803915	0.559757559	CAPZB	HOMO SAPIENS
NP_000377.1	0.013224897	-2.067742441	BLMH	HOMO SAPIENS
NP_004172.2	0.237669421	0.645257559	UCHL1	HOMO SAPIENS
NP_054768.2	0.529478812	-0.353242441	ACAD9	HOMO SAPIENS
NP_004658.3	0.276799606	0.593257559	HERC2	HOMO SAPIENS
NP_001269315.1	0.107151149	-1.210742441	IDH1	HOMO SAPIENS
NP_000436.2	0.326254869	-0.585242441	PLEC	HOMO SAPIENS
NP_001035972.1	0.964223305	0.076257559	LGALS7B	HOMO SAPIENS
NP_056238.2	0.207979958	-0.677742441	AASDHPPT	HOMO SAPIENS
NP_001257420.1	0.157803912	-0.815242441	RPL13A	HOMO SAPIENS
NP_000933.1	0.945383296	0.043257559	PPIB	HOMO SAPIENS
NP_000628.2	0.373354189	-0.483242441	GSR	HOMO SAPIENS
NP_001123885.2	0.101798723	-0.939242441	SCNN1D	HOMO SAPIENS
